latitude,longitude,rainfall_mm,temperature_c,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,elevation_m,crop_type
-1.9381898217289564,29.27769939325793,141.59698930756707,28.45405988417796,,2.2713598412484894,,0.2513178734426611,7.342545277500258,2370.367017104042,Coffee
-1.0739285403851258,29.81285142106754,,,,2.6304604671875964,,0.8284128601014044,7.0291885419247135,1788.0407227292471,Wheat
-1.4020090872828923,30.30941875381461,367.1891031823628,20.00935797584998,7.040643719160636,4.345463269409811,3.502338797083778,3.3418586398507757,1.4096648873018978,,Coffee
-1.602012273704445,30.098337329614342,137.34116994732713,27.497481992139978,4.615599618775095,,,3.0903965897195094,9.2644378466051,,Beans
-2.2659720393363454,,145.18240414502085,,4.596997878965896,4.4134235816547704,0.7130951458721215,1.4675064966828728,5.900485920489786,1945.0518663136572,Beans
-2.266008219495696,29.988175050066076,315.7893918462873,31.65660753576542,5.072697470979653,0.8966049393951117,3.8531184241767065,1.5695614483194287,3.955392450789,1510.863906131678,Maize
,30.038414846776778,207.408944857689,33.12174120962521,5.444298905364149,3.995592967438838,2.1216253070077506,2.18086229085896,7.687116543205414,1451.738529678168,Beans
-1.2007357813375972,30.27379347734798,321.8486949343134,15.243135429547737,5.633822325633931,4.313964348746314,,0.10093991827202475,2.9449718548155235,1867.3446792542704,Beans
-1.5983274823851867,29.37450201328878,72.87815514753484,28.480398381175853,6.718788867333381,1.3181794377680243,2.5446483272187623,1.0408529105483086,7.088343451940044,1747.1945112759704,Wheat
-1.4378911333059317,29.73413744546471,220.6499177856845,16.03671598239458,4.226721728663342,2.436559395674902,1.08747573734996,0.9121040535720363,0.8772564719363486,1869.3045537249716,Wheat
-2.469123258556296,29.331814162729405,61.76476006414892,25.97717330154712,4.1386908169042655,,,1.0768834923240775,8.474376357288083,1429.9908719305345,Beans
-1.0451352217570085,30.48150201199497,71.92862120937409,20.752654580873564,5.567642251775636,3.67971858047398,3.2895060869081436,3.243032785880421,4.757623046702526,1550.4367477254928,Wheat
-1.2513360387993675,30.41608900952992,367.25310867054384,21.135531990442825,6.788654768551922,2.9090649562774553,3.917894687833181,1.1907280405311285,6.548582686400446,1125.846940943364,Wheat
-2.181491333982586,29.059140217052757,98.7358798911583,22.05917006904713,4.77374137182593,3.3589550601874447,2.0572911709955646,0.8469331559955777,2.6017592881634948,,Wheat
-2.227262549189349,30.058362758773534,236.347238796326,27.425848980992203,6.566017925025006,1.3841913513029502,1.874331830938175,2.066627497092823,6.932200270255255,,Wheat
,30.387872476123498,193.8834609102473,21.680999313375384,5.039312551761197,1.4528563792358877,3.0385548612412743,3.4760156418536545,7.836282620986128,1111.3702889958186,Wheat
